Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingsList
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Other_8_11_16A_ORDER2-12-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingsList	Stats	
2	Self3	SelfTask	16	female	24	LASelfMixed		0	List6	won	$9.00	$9.00	-$2.25	$0.00	NULL	NULL	Mean Response.RT	0.00
2	Self3	SelfTask	17	female	24	LASelfMixed	2	570	List6	lost	-$11.00	$8.00	-$11.00	$0.00	NULL	NULL	Mean Response.RT	570.00
2	Self3	SelfTask	18	female	24	LASelfMixed	2	119	List6	won	$4.00	$4.00	-$3.00	$0.00	NULL	NULL	Mean Response.RT	119.00
2	Self3	SelfTask	19	female	24	LASelfMixed	1	605	List6	won	$6.00	$6.00	-$1.50	$0.00	NULL	NULL	Mean Response.RT	605.00
2	Self3	SelfTask	20	female	24	LASelfMixed	2	586	List6	lost	-$13.50	$9.00	-$13.50	$0.00	NULL	NULL	Mean Response.RT	586.00
2	Self3	SelfTask	21	female	24	LASelfMixed	2	664	List6	lost	-$5.63	$5.00	-$5.63	$0.00	NULL	NULL	Mean Response.RT	664.00
2	Self3	SelfTask	22	female	24	LASelfMixed	1	1254	List6	lost	-$3.00	$6.00	-$3.00	$0.00	NULL	NULL	Mean Response.RT	1254.00
2	Self3	SelfTask	23	female	24	LASelfMixed	2	803	List6	won	$10.00	$10.00	-$16.25	$0.00	NULL	NULL	Mean Response.RT	803.00
2	Self3	SelfTask	24	female	24	LASelfMixed	1	1169	List6	won	$5.00	$5.00	-$2.50	$0.00	NULL	NULL	Mean Response.RT	1169.00
2	Self3	SelfTask	25	female	24	LASelfGain	1	943	List6	lost	$0.00	$28.00	$0.00	$13.00	NULL	NULL	Mean Response.RT	943.00
2	Self3	SelfTask	26	female	24	LASelfMixed	2	956	List6	won	$10.00	$10.00	-$6.25	$0.00	NULL	NULL	Mean Response.RT	956.00
2	Self3	SelfTask	27	female	24	LASelfGain	1	938	List6	lost	$0.00	$12.00	$0.00	$5.00	NULL	NULL	Mean Response.RT	938.00
2	Self3	SelfTask	28	female	24	LASelfMixed	2	1015	List6	lost	-$12.00	$12.00	-$12.00	$0.00	NULL	NULL	Mean Response.RT	1015.00
2	Self3	SelfTask	29	female	24	LASelfMixed	2	486	List6	won	$4.00	$4.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	486.00
2	Self3	SelfTask	30	female	24	LASelfMixed	2	1011	List6	won	$6.00	$6.00	-$7.50	$0.00	NULL	NULL	Mean Response.RT	1011.00
3	Both1	BothTask	1	female	24	LABothMixed	2	654	List11	won	$8.00	$8.00	-$9.00	$0.00	NULL	NULL	Mean Response.RT	654.00
3	Both1	BothTask	2	female	24	LABothMixed		0	List11	lost	-$3.75	$2.00	-$3.75	$0.00	NULL	NULL	Mean Response.RT	0.00
3	Both1	BothTask	3	female	24	LABothGain	1	625	List11	won	$12.00	$12.00	$0.00	$4.00	NULL	NULL	Mean Response.RT	625.00
3	Both1	BothTask	4	female	24	LABothGain	1	1311	List11	lost	$0.00	$22.00	$0.00	$13.00	NULL	NULL	Mean Response.RT	1311.00
3	Both1	BothTask	5	female	24	LABothMixed	2	1597	List11	lost	-$4.38	$5.00	-$4.38	$0.00	NULL	NULL	Mean Response.RT	1597.00
3	Both1	BothTask	6	female	24	LABothMixed	2	1147	List11	lost	-$18.75	$10.00	-$18.75	$0.00	NULL	NULL	Mean Response.RT	1147.00
3	Both1	BothTask	7	female	24	LABothMixed	2	689	List11	won	$9.00	$9.00	-$9.00	$0.00	NULL	NULL	Mean Response.RT	689.00
3	Both1	BothTask	8	female	24	LABothMixed	1	583	List11	lost	-$1.25	$2.00	-$1.25	$0.00	NULL	NULL	Mean Response.RT	583.00
3	Both1	BothTask	9	female	24	LABothMixed	1	469	List11	won	$4.00	$4.00	-$1.00	$0.00	NULL	NULL	Mean Response.RT	469.00
3	Both1	BothTask	10	female	24	LABothMixed	1	1202	List11	lost	-$13.00	$8.00	-$13.00	$0.00	NULL	NULL	Mean Response.RT	1202.00
3	Both1	BothTask	11	female	24	LABothMixed	2	887	List11	won	$8.00	$8.00	-$2.00	$0.00	NULL	NULL	Mean Response.RT	887.00
3	Both1	BothTask	12	female	24	LABothMixed	2	1156	List11	lost	-$12.00	$6.00	-$12.00	$0.00	NULL	NULL	Mean Response.RT	1156.00
3	Both1	BothTask	13	female	24	LABothMixed	2	1699	List11	lost	-$9.00	$12.00	-$9.00	$0.00	NULL	NULL	Mean Response.RT	1699.00
3	Both1	BothTask	14	female	24	LABothMixed	2	848	List11	won	$6.00	$6.00	-$9.00	$0.00	NULL	NULL	Mean Response.RT	848.00
3	Both1	BothTask	15	female	24	LABothGain	1	790	List11	won	$3.25	$3.25	$0.00	$1.00	NULL	NULL	Mean Response.RT	790.00
